chemistry	n.	the scientific study of substances, what they are made of, how they act under different conditions, and how they form other substances
chief	n.	the head or leader of a group
chief	ad.	leading
chief	ad.	most important
child	n.	a baby
child	n.	a boy or girl
children	n.	more than one child
choose	v.	to decide between two or more
center	n.	the middle of something
center	n.	the place in the middle
center	n.	a place that is the main point of an activity
chromosome	n.	a line of genes
chromosome	n.	most human cells contain 46 chromosomes
circle	n.	a closed shape that has all its points equally distant from the center, like an "O"
citizen	n.	a person who is a member of a country by birth or by law
city	n.	any important large town
civilian	ad.	not military
civil rights	n.	the political, economic and social rights given equally to all people of a nation
claim	v.	to say something as a fact
clash	n.	a battle
clash	v.	to fight or oppose
class	n.	a group of students who meet to study the same subject
class	n.	also a social or economic group.	They were members of the middle class.
clean	v.	to make pure
clean	ad.	free from dirt or harmful substances	clean water
clear	ad.	easy to see or see through
clear	ad.	easily understood
clergy	n.	a body of officials within a religious organization
climate	n.	the normal weather conditions of a place
climb	v.	to go up or down something by using the feet and sometimes the hands
clock	n.	a device that measures and shows time
close	v.	to make something not open
close	ad.	near to
cloth	n.	a material made from plants, chemicals, animal hair and other substances
clothes	n.	what people wear
cloud	n.	a mass of fog high in the sky
coal	n.	a solid black substance used as fuel
coalition	n.	forces, groups or nations joined together
coast	n.	land on the edge of the ocean
coffee	n.	a drink made from the plant of the same name
cold	ad.	not warm
cold	ad.	having or feeling great coolness or a low temperature
collapse	v.	to fall down or inward suddenly
collapse	v.	to break down or fail suddenly in strength, health or power.	The building collapsed in the earthquake. The government collapsed after a vote in parliament.
collect	v.	to bring or gather together in one place
collect	v.	to demand and receive	collect taxes
college	n.	a small university
colony	n.	land controlled by another country or government
color	n.	the different effects of light on the eye, making blue, red, brown, black, yellow and others
combine	v.	to mix or bring together
come	v.	to move toward
come	v.	to arrive
command	v.	to order
command	v.	to have power over something
comment	v.	to say something about
comment	v.	to express an opinion about something
committee	n.	a group of people given special work
common	ad.	usual
common	ad.	same for all	a common purpose
communicate	v.	to tell
communicate	v.	to give or exchange information
community	n.	a group of people living together in one place or area
company	n.	a business organized for trade, industrial or other purposes
compare	v.	to examine what is different or similar
compete	v.	to try to do as well as, or better than, another or others
complete	ad.	having all parts
complete	ad.	ended or finished
complex	ad.	of or having many parts that are difficult to understand
complex	ad.	not simple
compound	n.	a substance containing two or more elements
compromise	n.	the settlement of an argument where each side agrees to accept less than first demanded
computer	n.	an electronic machine for storing and organizing information, and for communicating with others
concern	n.	interest, worry	express concern about
concern	v.	to fear	to be concerned
condemn	v.	to say a person or action is wrong or bad
condition	n.	something declared necessary to complete an agreement
condition	n.	a person's health
conference	n.	a meeting
confirm	v.	to approve
confirm	v.	to say that something is true
conflict	n.	a fight
conflict	n.	a battle, especially a long one
congratulate	v.	to praise a person or to express pleasure for success or good luck
Congress	n.	the organization of people elected to make the laws of the United States (the House of Representatives and the Senate)
Congress	n.	a similar organization in other countries
connect	v.	to join one thing to another
connect	v.	to unite
connect	v.	to link
conservative	n.	one who usually supports tradition and opposes great change
consider	v.	to give thought to
consider	v.	to think about carefully
constitution	n.	the written general laws and ideas that form a nation's system of government
contact	n.	the act of touching or being close to a person or thing	He was in contact with animals that had the disease.
contact	v.	to meet or communicate with	He wanted to contact his local official.
contain	v.	to hold
contain	v.	to include
container	n.	a box, bottle or can used to hold something
continent	n.	any of the seven great land areas of the world
continue	v.	to go on doing or being
control	v.	to direct
control	v.	to have power over
convention	n.	a large meeting for a special purpose
cook	v.	to heat food before eating it
cool	ad.	almost cold
cooperate	v.	to act or work together
copy	v.	to make something exactly like another
copy	n.	something made to look exactly like another
corn	n.	a food grain
correct	ad.	true
correct	ad.	free from mistakes
correct	v.	to change to what is right
corruption	n.	actions taken to gain money or power that are legally or morally wrong
cost	n.	the price or value of something	The cost of the book is five dollars.
cost	v.	to be valued at
cotton	n.	a material made from a plant of the same name
count	v.	to speak or add numbers
country	n.	a nation
country	n.	the territory of a nation
country	n.	land away from cities
court	n.	where trials take place
court	n.	where judges make decisions about law
cover	v.	to put something over a person or thing
cover	n.	anything that is put over a person or thing
cow	n.	a farm animal used for its milk
crash	v.	to fall violently
crash	v.	to hit with great force
create	v.	to make
create	v.	to give life or form to
creature	n.	any living being
creature	n.	any animal or human
credit	n.	an agreement that payments will be made at a later time
crew	n.	a group of people working together
crime	n.	an act that violates a law
criminal	n.	a person who is responsible for a crime
crisis	n.	an extremely important time when something may become much better or worse
crisis	n.	a dangerous situation
criticize	v.	to say what is wrong with something or someone
criticize	v.	to condemn
criticize	v.	to judge
crops	n.	plants that are grown and gathered for food, such as grains, fruits and vegetables
cross	v.	to go from one side to another
cross	v.	to go across
crowd	n.	a large number of people gathered in one place
crush	v.	to damage or destroy by great weight
crush	v.	to defeat completely
cry	v.	to express or show sorrow or pain
culture	n.	all the beliefs, traditions and arts of a group or population
cure	v.	to improve health
cure	v.	to make well	The doctor can cure the disease.
cure	n.	something that makes a sick person well	Antibiotics are a cure for infection.
curfew	n.	an order to people to stay off the streets or to close their businesses
current	n.	movement of air, water or electricity
current	ad.	belonging to the present time	She found the report in a current publication.
custom	n.	a long-established belief or activity of a people
customs	n.	taxes on imports
cut	v.	to divide or injure with a sharp tool
cut	v.	to make less
cut	v.	to reduce
dam	n.	a wall built across a river to hold back flowing water
damage	v.	to cause injury or destruction
damage	n.	harm
damage	n.	hurt or injury, usually to things
dance	v.	to move the body and feet to music
dance	n.	a series of steps, usually to music
danger	n.	a strong chance of suffering injury, damage or loss
